Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Matias Olímpio (PI)";220610;0,277;0,376;0,562;0,370;0,434;0,521;0,565;0,651;0,779;0,102;0,188;0,438
"Miguel Alves (PI)";220620;0,247;0,338;0,539;0,398;0,425;0,533;0,564;0,612;0,742;0,067;0,148;0,396
"Miguel Leão (PI)";220630;0,324;0,412;0,623;0,453;0,478;0,579;0,608;0,708;0,782;0,123;0,206;0,533
"Milton Brandão (PI)";220635;0,133;0,297;0,508;0,278;0,336;0,476;0,496;0,635;0,772;0,017;0,123;0,357
"Monsenhor Gil (PI)";220640;0,323;0,440;0,615;0,361;0,471;0,568;0,608;0,661;0,781;0,153;0,274;0,524
"Monsenhor Hipólito (PI)";220650;0,312;0,409;0,561;0,417;0,549;0,591;0,592;0,620;0,739;0,123;0,201;0,404
"Monte Alegre do Piauí (PI)";220660;0,300;0,387;0,578;0,436;0,444;0,531;0,574;0,635;0,768;0,108;0,206;0,474
"Morro Cabeça no Tempo (PI)";220665;0,213;0,317;0,542;0,320;0,369;0,472;0,518;0,644;0,774;0,058;0,134;0,435
"Morro do Chapéu do Piauí (PI)";220667;0,173;0,297;0,550;0,345;0,378;0,536;0,496;0,612;0,742;0,030;0,113;0,418
"Murici dos Portelas (PI)";220669;0,179;0,312;0,530;0,325;0,422;0,489;0,565;0,651;0,777;0,031;0,111;0,391
"Nazaré do Piauí (PI)";220670;0,268;0,380;0,576;0,355;0,424;0,531;0,587;0,618;0,707;0,092;0,210;0,510
"Nazária (PI)";220672;0,270;0,389;0,602;0,374;0,445;0,546;0,615;0,706;0,780;0,086;0,187;0,512
"Nossa Senhora de Nazaré (PI)";220675;0,256;0,373;0,586;0,388;0,407;0,557;0,560;0,648;0,780;0,077;0,197;0,462
"Nossa Senhora dos Remédios (PI)";220680;0,249;0,370;0,533;0,338;0,424;0,503;0,496;0,621;0,732;0,092;0,192;0,411
"Nova Santa Rita (PI)";220795;0,157;0,321;0,554;0,332;0,395;0,520;0,487;0,630;0,770;0,024;0,133;0,425
"Novo Oriente do Piauí (PI)";220690;0,277;0,390;0,562;0,385;0,483;0,547;0,570;0,647;0,775;0,097;0,190;0,418
"Novo Santo Antônio (PI)";220695;0,179;0,246;0,528;0,331;0,355;0,536;0,493;0,564;0,702;0,035;0,074;0,392
"Oeiras (PI)";220700;0,328;0,445;0,634;0,458;0,530;0,619;0,595;0,626;0,753;0,129;0,266;0,547
"Olho D'Água do Piauí (PI)";220710;0,292;0,398;0,576;0,365;0,418;0,537;0,594;0,635;0,746;0,115;0,238;0,477
"Padre Marcos (PI)";220720;0,251;0,352;0,541;0,400;0,440;0,531;0,440;0,574;0,699;0,090;0,173;0,427
"Paes Landim (PI)";220730;0,299;0,450;0,575;0,377;0,447;0,537;0,595;0,619;0,721;0,119;0,330;0,492
"Pajeú do Piauí (PI)";220735;0,189;0,383;0,559;0,282;0,495;0,560;0,584;0,687;0,732;0,041;0,165;0,427
"Palmeira do Piauí (PI)";220740;0,279;0,428;0,557;0,352;0,485;0,570;0,605;0,648;0,704;0,102;0,250;0,431
"Palmeirais (PI)";220750;0,234;0,370;0,562;0,323;0,439;0,515;0,594;0,658;0,776;0,067;0,176;0,443
"Paquetá (PI)";220755;0,197;0,284;0,509;0,355;0,406;0,519;0,513;0,612;0,731;0,042;0,092;0,348
"Parnaguá (PI)";220760;0,295;0,362;0,575;0,392;0,453;0,526;0,548;0,648;0,777;0,119;0,162;0,464
"Parnaíba (PI)";220770;0,414;0,546;0,687;0,517;0,603;0,658;0,599;0,709;0,816;0,229;0,381;0,604
"Passagem Franca do Piauí (PI)";220775;0,199;0,376;0,561;0,331;0,437;0,594;0,540;0,644;0,758;0,044;0,189;0,393
"Patos do Piauí (PI)";220777;0,181;0,364;0,563;0,397;0,462;0,529;0,594;0,635;0,755;0,025;0,164;0,448
"Pau D'Arco do Piauí (PI)";220779;0,175;0,282;0,514;0,340;0,353;0,488;0,509;0,632;0,742;0,031;0,101;0,376
"Paulistana (PI)";220780;0,283;0,396;0,600;0,418;0,483;0,596;0,553;0,642;0,767;0,098;0,201;0,472
"Pavussu (PI)";220785;0,261;0,333;0,526;0,417;0,433;0,512;0,583;0,618;0,748;0,073;0,138;0,379
"Pedro Ii (PI)";220790;0,291;0,385;0,571;0,389;0,444;0,566;0,625;0,684;0,767;0,101;0,188;0,428
"Pedro Laurentino (PI)";220793;0,198;0,325;0,562;0,301;0,407;0,479;0,558;0,632;0,746;0,046;0,133;0,496
"Picos (PI)";220800;0,427;0,545;0,698;0,550;0,610;0,684;0,627;0,718;0,800;0,225;0,370;0,621
"Pimenteiras (PI)";220810;0,289;0,376;0,566;0,400;0,428;0,553;0,600;0,665;0,774;0,101;0,187;0,423
"Pio Ix (PI)";220820;0,271;0,367;0,564;0,388;0,476;0,538;0,583;0,618;0,758;0,088;0,168;0,440
"Piracuruca (PI)";220830;0,338;0,431;0,596;0,457;0,469;0,575;0,591;0,691;0,770;0,143;0,247;0,478
"Piripiri (PI)";220840;0,357;0,455;0,635;0,452;0,527;0,621;0,627;0,669;0,775;0,161;0,267;0,533
"Porto (PI)";220850;0,282;0,374;0,549;0,372;0,421;0,537;0,496;0,619;0,758;0,121;0,201;0,406
"Porto Alegre do Piauí (PI)";220855;0,264;0,374;0,563;0,351;0,427;0,539;0,565;0,663;0,732;0,093;0,185;0,452
"Prata do Piauí (PI)";220860;0,321;0,418;0,565;0,384;0,457;0,527;0,600;0,673;0,764;0,144;0,237;0,448
"Queimada Nova (PI)";220865;0,182;0,280;0,515;0,363;0,387;0,490;0,474;0,619;0,758;0,035;0,092;0,368
"Redenção do Gurguéia (PI)";220870;0,282;0,402;0,589;0,365;0,440;0,557;0,510;0,637;0,766;0,121;0,231;0,478
"Regeneração (PI)";220880;0,322;0,430;0,591;0,415;0,474;0,582;0,581;0,693;0,714;0,138;0,242;0,498
"Riacho Frio (PI)";220885;0,207;0,395;0,541;0,322;0,470;0,483;0,548;0,626;0,761;0,050;0,210;0,431
"Ribeira do Piauí (PI)";220887;0,143;0,285;0,520;0,326;0,374;0,505;0,496;0,637;0,758;0,018;0,097;0,368
"Ribeiro Gonçalves (PI)";220890;0,333;0,439;0,601;0,422;0,544;0,568;0,618;0,665;0,787;0,142;0,234;0,485
"Rio Grande do Piauí (PI)";220900;0,314;0,414;0,572;0,428;0,482;0,552;0,617;0,687;0,767;0,117;0,215;0,442
"Santa Cruz do Piauí (PI)";220910;0,257;0,445;0,601;0,379;0,512;0,570;0,549;0,632;0,720;0,082;0,273;0,530
"Santa Cruz dos Milagres (PI)";220915;0,182;0,392;0,577;0,304;0,428;0,524;0,570;0,619;0,719;0,035;0,227;0,509
"Santa Filomena (PI)";220920;0,281;0,393;0,544;0,413;0,477;0,530;0,618;0,690;0,789;0,087;0,185;0,385
"Santa Luz (PI)";220930;0,328;0,414;0,588;0,374;0,436;0,539;0,574;0,673;0,768;0,165;0,242;0,490
"Santana do Piauí (PI)";220935;0,235;0,351;0,574;0,427;0,435;0,539;0,595;0,632;0,736;0,051;0,157;0,476
"Santa Rosa do Piauí (PI)";220937;0,202;0,352;0,567;0,348;0,464;0,539;0,523;0,556;0,699;0,045;0,169;0,483
"Santo Antônio de Lisboa (PI)";220940;0,356;0,443;0,584;0,518;0,541;0,597;0,535;0,606;0,704;0,163;0,266;0,473
"Santo Antônio dos Milagres (PI)";220945;0,324;0,444;0,619;0,368;0,405;0,524;0,528;0,648;0,776;0,175;0,334;0,582
"Santo Inácio do Piauí (PI)";220950;0,270;0,427;0,613;0,398;0,503;0,543;0,575;0,690;0,776;0,086;0,225;0,546
"São Braz do Piauí (PI)";220955;0,250;0,350;0,596;0,360;0,445;0,533;0,558;0,630;0,771;0,078;0,153;0,514
"São Félix do Piauí (PI)";220960;0,354;0,481;0,610;0,391;0,485;0,587;0,624;0,679;0,742;0,182;0,338;0,520
"São Francisco de Assis do Piauí (PI)";220965;0,143;0,241;0,485;0,308;0,379;0,462;0,474;0,616;0,734;0,020;0,060;0,336
"São Francisco do Piauí (PI)";220970;0,233;0,348;0,570;0,295;0,415;0,557;0,468;0,612;0,744;0,092;0,166;0,448
"São Gonçalo do Gurguéia (PI)";220975;0,229;0,384;0,560;0,376;0,447;0,572;0,510;0,630;0,701;0,063;0,201;0,438
"São Gonçalo do Piauí (PI)";220980;0,388;0,502;0,616;0,463;0,449;0,538;0,627;0,695;0,739;0,201;0,406;0,588
"São João da Canabrava (PI)";220985;0,250;0,366;0,559;0,392;0,436;0,539;0,549;0,581;0,726;0,073;0,193;0,446
"São João da Fronteira (PI)";220987;0,165;0,359;0,515;0,378;0,473;0,516;0,571;0,621;0,753;0,021;0,158;0,351
"São João da Serra (PI)";220990;0,226;0,364;0,582;0,318;0,413;0,545;0,540;0,630;0,757;0,067;0,186;0,478
"São João da Varjota (PI)";220995;0,241;0,368;0,559;0,363;0,441;0,536;0,594;0,632;0,708;0,065;0,179;0,460
"São João do Arraial (PI)";220997;0,180;0,357;0,523;0,310;0,429;0,496;0,506;0,592;0,720;0,037;0,179;0,401
"São João do Piauí (PI)";221000;0,345;0,451;0,645;0,466;0,532;0,615;0,587;0,637;0,769;0,150;0,271;0,567
"São José do Divino (PI)";221005;0,156;0,363;0,565;0,344;0,413;0,529;0,528;0,648;0,775;0,021;0,178;0,440
"São José do Peixe (PI)";221010;0,305;0,408;0,573;0,390;0,460;0,548;0,608;0,645;0,766;0,120;0,229;0,449
"São José do Piauí (PI)";221020;0,286;0,357;0,552;0,402;0,427;0,569;0,582;0,632;0,700;0,100;0,169;0,423
"São Julião (PI)";221030;0,300;0,436;0,594;0,444;0,507;0,593;0,540;0,654;0,775;0,113;0,250;0,455
"São Lourenço do Piauí (PI)";221035;0,258;0,399;0,595;0,415;0,439;0,560;0,606;0,630;0,753;0,068;0,230;0,499
"São Luis do Piauí (PI)";221037;0,152;0,390;0,554;0,337;0,433;0,520;0,523;0,621;0,757;0,020;0,220;0,433
"São Miguel da Baixa Grande (PI)";221038;0,285;0,342;0,563;0,382;0,412;0,557;0,591;0,637;0,774;0,103;0,152;0,413
"São Miguel do Fidalgo (PI)";221039;0,199;0,348;0,535;0,323;0,355;0,505;0,519;0,645;0,747;0,047;0,184;0,407
"São Miguel do Tapuio (PI)";221040;0,228;0,342;0,556;0,349;0,426;0,508;0,540;0,651;0,780;0,063;0,144;0,434
"São Pedro do Piauí (PI)";221050;0,339;0,437;0,595;0,404;0,470;0,553;0,627;0,689;0,776;0,154;0,258;0,492
"São Raimundo Nonato (PI)";221060;0,394;0,497;0,661;0,492;0,541;0,631;0,671;0,706;0,779;0,185;0,322;0,587
"Sebastião Barros (PI)";221062;0,199;0,338;0,536;0,281;0,403;0,508;0,548;0,637;0,770;0,051;0,150;0,394
"Sebastião Leal (PI)";221063;0,219;0,369;0,562;0,272;0,425;0,516;0,565;0,690;0,736;0,068;0,171;0,467
"Sigefredo Pacheco (PI)";221065;0,241;0,356;0,581;0,396;0,403;0,518;0,592;0,656;0,764;0,060;0,170;0,496
"Simões (PI)";221070;0,273;0,371;0,575;0,443;0,451;0,560;0,563;0,635;0,771;0,082;0,179;0,440
"Simplício Mendes (PI)";221080;0,341;0,473;0,627;0,489;0,552;0,613;0,626;0,695;0,767;0,130;0,276;0,525
"Socorro do Piauí (PI)";221090;0,270;0,344;0,561;0,401;0,412;0,513;0,539;0,604;0,739;0,091;0,164;0,465
"Sussuapara (PI)";221093;0,196;0,390;0,586;0,415;0,467;0,563;0,582;0,610;0,749;0,031;0,208;0,476
"Tamboril do Piauí (PI)";221095;0,154;0,316;0,501;0,335;0,448;0,509;0,493;0,595;0,685;0,022;0,118;0,360
"Tanque do Piauí (PI)";221097;0,303;0,376;0,579;0,401;0,429;0,553;0,549;0,606;0,704;0,126;0,205;0,499
"Teresina (PI)";221100;0,509;0,620;0,751;0,606;0,664;0,731;0,708;0,734;0,820;0,308;0,488;0,707
"União (PI)";221110;0,299;0,397;0,577;0,408;0,444;0,542;0,594;0,666;0,781;0,110;0,211;0,453
"Uruçuí (PI)";221120;0,294;0,432;0,631;0,441;0,498;0,614;0,592;0,687;0,794;0,097;0,236;0,516
"Valença do Piauí (PI)";221130;0,394;0,496;0,647;0,492;0,568;0,620;0,591;0,684;0,773;0,211;0,315;0,566
"Várzea Branca (PI)";221135;0,168;0,318;0,553;0,343;0,401;0,518;0,493;0,604;0,743;0,028;0,133;0,440
"Várzea Grande (PI)";221140;0,318;0,421;0,571;0,405;0,492;0,554;0,564;0,648;0,708;0,141;0,234;0,474
"Vera Mendes (PI)";221150;0,189;0,358;0,503;0,299;0,418;0,494;0,477;0,561;0,685;0,047;0,196;0,375
"Vila Nova do Piauí (PI)";221160;0,150;0,357;0,565;0,397;0,447;0,559;0,470;0,591;0,685;0,018;0,172;0,471
"Wall Ferraz (PI)";221170;0,130;0,282;0,544;0,277;0,437;0,513;0,493;0,568;0,708;0,016;0,090;0,443
"Abatiá (PR)";410010;0,423;0,553;0,687;0,545;0,575;0,676;0,718;0,744;0,804;0,193;0,396;0,596
"Adrianópolis (PR)";410020;0,400;0,542;0,667;0,528;0,539;0,644;0,661;0,748;0,817;0,183;0,396;0,563
"Agudos do Sul (PR)";410030;0,351;0,513;0,660;0,533;0,584;0,671;0,645;0,704;0,790;0,126;0,329;0,543
"Almirante Tamandaré (PR)";410040;0,437;0,583;0,699;0,580;0,629;0,706;0,704;0,773;0,840;0,204;0,407;0,575
"Altamira do Paraná (PR)";410045;0,333;0,496;0,667;0,485;0,558;0,667;0,631;0,709;0,780;0,121;0,308;0,571
"Altônia (PR)";410050;0,468;0,610;0,721;0,541;0,615;0,690;0,690;0,753;0,848;0,274;0,490;0,641
"Alto Paraíso (PR)";412862;0,383;0,530;0,678;0,514;0,570;0,677;0,652;0,748;0,829;0,168;0,350;0,556
"Alto Paraná (PR)";410060;0,467;0,607;0,696;0,564;0,625;0,679;0,725;0,752;0,846;0,249;0,475;0,587
"Alto Piquiri (PR)";410070;0,401;0,587;0,676;0,524;0,653;0,669;0,652;0,747;0,798;0,189;0,415;0,578
"Alvorada do Sul (PR)";410080;0,504;0,646;0,708;0,583;0,636;0,695;0,739;0,757;0,826;0,297;0,561;0,617
"Amaporã (PR)";410090;0,407;0,592;0,669;0,500;0,610;0,644;0,663;0,700;0,785;0,204;0,486;0,591
"Ampére (PR)";410100;0,419;0,615;0,709;0,524;0,654;0,699;0,690;0,769;0,824;0,203;0,462;0,620
"Anahy (PR)";410105;0,398;0,595;0,695;0,501;0,558;0,671;0,690;0,767;0,844;0,182;0,492;0,593
"Andirá (PR)";410110;0,504;0,644;0,725;0,578;0,654;0,690;0,666;0,741;0,838;0,332;0,550;0,660
"Ângulo (PR)";410115;0,459;0,629;0,721;0,513;0,646;0,705;0,702;0,744;0,827;0,269;0,517;0,644
"Antonina (PR)";410120;0,438;0,582;0,687;0,563;0,625;0,686;0,702;0,800;0,838;0,213;0,395;0,564
"Antônio Olinto (PR)";410130;0,317;0,495;0,656;0,473;0,538;0,626;0,661;0,739;0,825;0,102;0,305;0,547
"Apucarana (PR)";410140;0,535;0,669;0,748;0,628;0,685;0,741;0,713;0,803;0,845;0,342;0,545;0,668
"Arapongas (PR)";410150;0,551;0,669;0,748;0,652;0,693;0,751;0,702;0,773;0,834;0,366;0,558;0,669
"Arapoti (PR)";410160;0,465;0,631;0,723;0,641;0,709;0,715;0,678;0,743;0,823;0,231;0,478;0,643
"Arapuã (PR)";410165;0,355;0,543;0,676;0,437;0,523;0,638;0,662;0,748;0,828;0,155;0,410;0,584
"Araruna (PR)";410170;0,439;0,602;0,704;0,529;0,616;0,685;0,636;0,717;0,785;0,252;0,493;0,648
"Araucária (PR)";410180;0,484;0,628;0,740;0,617;0,661;0,743;0,722;0,803;0,852;0,254;0,467;0,639
"Ariranha do Ivaí (PR)";410185;0,332;0,517;0,670;0,457;0,576;0,637;0,627;0,702;0,794;0,128;0,341;0,594
"Assaí (PR)";410190;0,522;0,618;0,728;0,628;0,626;0,724;0,693;0,753;0,833;0,326;0,501;0,641
"Assis Chateaubriand (PR)";410200;0,505;0,678;0,729;0,604;0,715;0,713;0,708;0,803;0,857;0,301;0,544;0,633
"Astorga (PR)";410210;0,515;0,639;0,747;0,618;0,675;0,754;0,684;0,741;0,818;0,323;0,522;0,675
"Atalaia (PR)";410220;0,470;0,651;0,736;0,575;0,649;0,707;0,704;0,800;0,854;0,257;0,531;0,660
"Balsa Nova (PR)";410230;0,457;0,605;0,696;0,573;0,629;0,707;0,717;0,761;0,823;0,233;0,463;0,579
"Bandeirantes (PR)";410240;0,484;0,641;0,727;0,597;0,649;0,714;0,661;0,726;0,819;0,288;0,560;0,658
"Barbosa Ferraz (PR)";410250;0,432;0,580;0,696;0,521;0,591;0,667;0,677;0,736;0,808;0,229;0,449;0,625
"Barracão (PR)";410260;0,469;0,613;0,706;0,624;0,651;0,716;0,693;0,755;0,833;0,238;0,469;0,590
"Barra do Jacaré (PR)";410270;0,474;0,663;0,744;0,575;0,630;0,678;0,718;0,733;0,813;0,258;0,631;0,747
"Bela Vista da Caroba (PR)";410275;0,351;0,545;0,681;0,473;0,546;0,667;0,690;0,774;0,828;0,132;0,382;0,572
"Bela Vista do Paraíso (PR)";410280;0,482;0,641;0,716;0,612;0,670;0,721;0,730;0,789;0,844;0,250;0,498;0,604
"Bituruna (PR)";410290;0,392;0,533;0,667;0,522;0,599;0,645;0,661;0,739;0,829;0,175;0,342;0,556
"Boa Esperança (PR)";410300;0,462;0,615;0,720;0,601;0,597;0,687;0,638;0,721;0,808;0,257;0,540;0,673
"Boa Esperança do Iguaçu (PR)";410302;0,391;0,565;0,700;0,486;0,598;0,673;0,722;0,768;0,848;0,170;0,393;0,602
"Boa Ventura de São Roque (PR)";410304;0,208;0,515;0,655;0,425;0,611;0,635;0,625;0,698;0,802;0,034;0,321;0,553
"Boa Vista da Aparecida (PR)";410305;0,334;0,559;0,670;0,455;0,612;0,668;0,643;0,706;0,801;0,127;0,405;0,563
"Bocaiúva do Sul (PR)";410310;0,376;0,523;0,640;0,548;0,618;0,679;0,681;0,723;0,816;0,143;0,321;0,473
"Bom Jesus do Sul (PR)";410315;0,358;0,544;0,697;0,451;0,530;0,640;0,680;0,723;0,805;0,150;0,420;0,656
"Bom Sucesso (PR)";410320;0,378;0,573;0,686;0,555;0,610;0,692;0,668;0,749;0,820;0,146;0,411;0,570
"Bom Sucesso do Sul (PR)";410322;0,430;0,638;0,742;0,524;0,619;0,704;0,672;0,761;0,836;0,226;0,551;0,695
"Borrazópolis (PR)";410330;0,421;0,595;0,717;0,569;0,588;0,695;0,696;0,769;0,838;0,188;0,465;0,633
"Braganey (PR)";410335;0,401;0,537;0,701;0,518;0,543;0,689;0,686;0,707;0,797;0,181;0,403;0,627
"Brasilândia do Sul (PR)";410337;0,359;0,582;0,681;0,507;0,610;0,680;0,668;0,718;0,813;0,137;0,450;0,572
"Cafeara (PR)";410340;0,435;0,586;0,693;0,528;0,590;0,683;0,648;0,743;0,811;0,240;0,458;0,602
"Cafelândia (PR)";410345;0,516;0,666;0,748;0,690;0,669;0,723;0,725;0,742;0,835;0,275;0,596;0,692
"Cafezal do Sul (PR)";410347;0,357;0,580;0,692;0,467;0,629;0,686;0,702;0,741;0,792;0,139;0,418;0,611
"Califórnia (PR)";410350;0,468;0,611;0,722;0,559;0,631;0,718;0,666;0,724;0,821;0,275;0,499;0,638
"Cambará (PR)";410360;0,550;0,645;0,721;0,659;0,658;0,711;0,716;0,755;0,818;0,352;0,539;0,645
"Cambé (PR)";410370;0,497;0,661;0,734;0,607;0,673;0,724;0,704;0,798;0,840;0,287;0,538;0,651
"Cambira (PR)";410380;0,476;0,633;0,725;0,560;0,634;0,702;0,723;0,800;0,835;0,267;0,499;0,651
"Campina da Lagoa (PR)";410390;0,433;0,598;0,704;0,528;0,619;0,677;0,652;0,748;0,829;0,236;0,462;0,623
"Campina do Simão (PR)";410395;0,247;0,491;0,630;0,476;0,539;0,598;0,621;0,709;0,792;0,051;0,310;0,527
"Campina Grande do Sul (PR)";410400;0,433;0,597;0,718;0,604;0,639;0,712;0,709;0,804;0,860;0,190;0,415;0,605
"Campo Bonito (PR)";410405;0,371;0,512;0,681;0,511;0,548;0,690;0,658;0,718;0,813;0,152;0,341;0,562
"Campo do Tenente (PR)";410410;0,383;0,550;0,686;0,508;0,574;0,661;0,654;0,737;0,806;0,169;0,393;0,606
"Campo Largo (PR)";410420;0,486;0,639;0,745;0,615;0,674;0,730;0,709;0,800;0,854;0,263;0,483;0,664
"Campo Magro (PR)";410425;0,404;0,579;0,701;0,597;0,647;0,685;0,670;0,753;0,828;0,165;0,399;0,607
"Campo Mourão (PR)";410430;0,524;0,675;0,757;0,637;0,682;0,749;0,708;0,776;0,841;0,319;0,582;0,689
"Cândido de Abreu (PR)";410440;0,287;0,460;0,629;0,453;0,533;0,643;0,662;0,702;0,783;0,079;0,260;0,494
"Candói (PR)";410442;0,309;0,509;0,635;0,524;0,610;0,655;0,610;0,685;0,778;0,092;0,315;0,503
"Cantagalo (PR)";410445;0,334;0,516;0,635;0,514;0,582;0,638;0,615;0,684;0,768;0,118;0,346;0,522
"Capanema (PR)";410450;0,488;0,607;0,706;0,555;0,651;0,719;0,721;0,737;0,801;0,290;0,467;0,611
"Capitão Leônidas Marques (PR)";410460;0,415;0,626;0,716;0,530;0,664;0,712;0,700;0,737;0,829;0,192;0,502;0,623
"Carambeí (PR)";410465;0,455;0,647;0,728;0,607;0,677;0,721;0,713;0,746;0,836;0,218;0,537;0,640
"Carlópolis (PR)";410470;0,463;0,590;0,713;0,546;0,632;0,696;0,690;0,767;0,832;0,263;0,423;0,625
"Cascavel (PR)";410480;0,544;0,692;0,782;0,671;0,718;0,776;0,726;0,803;0,846;0,330;0,574;0,728
"Castro (PR)";410490;0,456;0,613;0,703;0,619;0,651;0,704;0,666;0,743;0,823;0,230;0,477;0,600
"Catanduvas (PR)";410500;0,421;0,569;0,678;0,564;0,619;0,677;0,661;0,703;0,805;0,200;0,424;0,573
"Centenário do Sul (PR)";410510;0,444;0,603;0,668;0,586;0,604;0,686;0,674;0,762;0,791;0,222;0,476;0,549
"Cerro Azul (PR)";410520;0,297;0,450;0,573;0,482;0,550;0,604;0,661;0,748;0,797;0,082;0,222;0,391
"Céu Azul (PR)";410530;0,478;0,644;0,732;0,603;0,671;0,732;0,678;0,752;0,812;0,267;0,530;0,659
"Chopinzinho (PR)";410540;0,424;0,623;0,740;0,532;0,645;0,740;0,704;0,782;0,817;0,203;0,480;0,671
"Cianorte (PR)";410550;0,505;0,639;0,755;0,626;0,698;0,747;0,720;0,773;0,841;0,285;0,483;0,685
"Cidade Gaúcha (PR)";410560;0,455;0,608;0,718;0,573;0,643;0,712;0,666;0,718;0,805;0,247;0,486;0,645
"Clevelândia (PR)";410570;0,432;0,550;0,694;0,553;0,623;0,718;0,651;0,725;0,813;0,224;0,369;0,573
"Colombo (PR)";410580;0,474;0,630;0,733;0,607;0,657;0,715;0,736;0,822;0,870;0,239;0,464;0,632
"Colorado (PR)";410590;0,504;0,649;0,730;0,616;0,683;0,747;0,704;0,767;0,804;0,296;0,522;0,649
"Congonhinhas (PR)";410600;0,397;0,534;0,668;0,484;0,570;0,655;0,686;0,707;0,809;0,188;0,378;0,562
"Conselheiro Mairinck (PR)";410610;0,422;0,588;0,707;0,525;0,675;0,675;0,625;0,722;0,806;0,229;0,418;0,650
"Contenda (PR)";410620;0,433;0,601;0,681;0,587;0,633;0,697;0,671;0,768;0,816;0,206;0,447;0,555
"Corbélia (PR)";410630;0,497;0,625;0,738;0,579;0,654;0,728;0,725;0,739;0,807;0,292;0,506;0,683
"Cornélio Procópio (PR)";410640;0,554;0,689;0,759;0,638;0,700;0,746;0,708;0,776;0,848;0,376;0,603;0,692
"Coronel Domingos Soares (PR)";410645;0,260;0,426;0,600;0,462;0,508;0,609;0,664;0,709;0,792;0,057;0,215;0,447
"Coronel Vivida (PR)";410650;0,463;0,607;0,723;0,574;0,621;0,714;0,730;0,739;0,810;0,237;0,487;0,653
"Corumbataí do Sul (PR)";410655;0,304;0,507;0,638;0,437;0,512;0,632;0,611;0,694;0,790;0,105;0,366;0,520
"Cruzeiro do Iguaçu (PR)";410657;0,381;0,562;0,709;0,500;0,573;0,703;0,702;0,736;0,792;0,158;0,420;0,641
"Cruzeiro do Oeste (PR)";410660;0,455;0,623;0,717;0,573;0,648;0,698;0,652;0,732;0,825;0,252;0,509;0,640
"Cruzeiro do Sul (PR)";410670;0,437;0,582;0,713;0,541;0,618;0,682;0,704;0,784;0,828;0,219;0,407;0,641
"Cruz Machado (PR)";410680;0,328;0,492;0,664;0,504;0,570;0,635;0,652;0,748;0,845;0,107;0,280;0,545
"Cruzmaltina (PR)";410685;0,379;0,546;0,666;0,477;0,543;0,650;0,608;0,684;0,768;0,187;0,439;0,593
"Curitiba (PR)";410690;0,640;0,750;0,823;0,755;0,809;0,850;0,728;0,796;0,855;0,476;0,655;0,768
"Curiúva (PR)";410700;0,332;0,482;0,656;0,492;0,559;0,649;0,661;0,738;0,795;0,113;0,271;0,546
"Diamante D'Oeste (PR)";410715;0,378;0,532;0,644;0,452;0,579;0,647;0,670;0,722;0,776;0,178;0,361;0,532
"Diamante do Norte (PR)";410710;0,456;0,613;0,723;0,569;0,631;0,699;0,641;0,730;0,824;0,260;0,500;0,657
"Diamante do Sul (PR)";410712;0,332;0,488;0,608;0,379;0,562;0,605;0,637;0,707;0,777;0,152;0,293;0,479
"Dois Vizinhos (PR)";410720;0,443;0,658;0,767;0,581;0,671;0,747;0,693;0,787;0,850;0,216;0,540;0,711
"Douradina (PR)";410725;0,452;0,591;0,724;0,557;0,645;0,721;0,702;0,725;0,818;0,236;0,441;0,644
"Doutor Camargo (PR)";410730;0,514;0,648;0,746;0,559;0,647;0,704;0,720;0,757;0,839;0,337;0,555;0,702
"Doutor Ulysses (PR)";412863;0,227;0,377;0,546;0,435;0,478;0,570;0,643;0,702;0,791;0,042;0,160;0,362
"Enéas Marques (PR)";410740;0,416;0,634;0,752;0,579;0,680;0,767;0,719;0,794;0,835;0,173;0,471;0,664
"Engenheiro Beltrão (PR)";410750;0,489;0,650;0,730;0,571;0,672;0,701;0,709;0,731;0,820;0,289;0,559;0,677
"Entre Rios do Oeste (PR)";410753;0,542;0,714;0,761;0,687;0,724;0,778;0,726;0,794;0,826;0,319;0,634;0,686
"Esperança Nova (PR)";410752;0,397;0,584;0,689;0,422;0,581;0,690;0,652;0,752;0,799;0,228;0,457;0,594
"Espigão Alto do Iguaçu (PR)";410754;0,319;0,529;0,636;0,416;0,595;0,632;0,686;0,724;0,781;0,114;0,344;0,521
"Farol (PR)";410755;0,395;0,571;0,715;0,523;0,595;0,671;0,627;0,726;0,818;0,188;0,432;0,665
"Faxinal (PR)";410760;0,454;0,590;0,687;0,590;0,652;0,697;0,654;0,718;0,796;0,242;0,439;0,584
"Fazenda Rio Grande (PR)";410765;0,451;0,594;0,720;0,602;0,627;0,713;0,717;0,762;0,847;0,213;0,438;0,617
"Fênix (PR)";410770;0,448;0,601;0,716;0,522;0,599;0,669;0,690;0,751;0,825;0,249;0,483;0,665
"Fernandes Pinheiro (PR)";410773;0,333;0,526;0,645;0,515;0,576;0,647;0,664;0,748;0,791;0,108;0,337;0,525
"Figueira (PR)";410775;0,428;0,555;0,677;0,564;0,606;0,680;0,625;0,706;0,801;0,223;0,399;0,569
